"LOCATION"	"STRAND"	"LENGTH"	"PID"	"GENE"	"SYNNYM"	"CODE"	"COG"	"PRODUCT"	"CHRM"	"ORG"
"631282..636120"	"+"	1612	6320298	"DNF2"	"YDR093W"	"-"	"-"	"aminophospholipid-translocating P4-type ATPase DNF2"	4	2
"637139..639823"	"+"	894	6320301	"GIS1"	"YDR096W"	"-"	"-"	"Gis1p"	4	2
"640109..643837"	"-"	1242	398365559	"MSH6"	"YDR097C"	"-"	"-"	"mismatch repair ATPase MSH6"	4	2
"644178..645035"	"-"	285	398365573	"GRX3"	"YDR098C"	"-"	"-"	"Grx3p"	4	2
"645858..651126"	"-"	1755	7839152	"-"	"YDR098C-B"	"-"	"-"	"gag-pol fusion protein"	4	2
"649804..651126"	"-"	440	7839151	"-"	"YDR098C-A"	"-"	"-"	"gag protein"	4	2
"653607..654428"	"+"	273	398365597	"BMH2"	"YDR099W"	"-"	"-"	"Bmh2p"	4	2
"655013..655444"	"+"	143	398365601	"TVP15"	"YDR100W"	"-"	"-"	"Tvp15p"	4	2
"655686..657467"	"-"	593	6320306	"ARX1"	"YDR101C"	"-"	"-"	"Arx1p"	4	2
"658350..661103"	"+"	917	6320308	"STE5"	"YDR103W"	"-"	"-"	"Ste5p"	4	2
"661173..664910"	"-"	1245	398365613	"SPO71"	"YDR104C"	"-"	"-"	"Spo71p"	4	2
"665349..666770"	"-"	473	398365623	"TMS1"	"YDR105C"	"-"	"-"	"Tms1p"	4	2
"667004..667858"	"+"	284	6320311	"ARP10"	"YDR106W"	"-"	"-"	"Arp10p"	4	2
"669016..671034"	"-"	672	6320312	"TMN2"	"YDR107C"	"-"	"-"	"Tmn2p"	4	2
"671269..673365"	"+"	698	398365643	"TRS85"	"YDR108W"	"-"	"-"	"Trs85p"	4	2
"673520..675667"	"-"	715	398365649	"-"	"YDR109C"	"-"	"-"	"putative phosphotransferase"	4	2
"676102..677802"	"+"	566	6320315	"FOB1"	"YDR110W"	"-"	"-"	"Fob1p"	4	2
"1802..2953"	"+"	383	6319953	"COS7"	"YDL248W"	"-"	"-"	"Cos7p"	4	2
"5985..7814"	"+"	609	6319954	"MPH2"	"YDL247W"	"-"	"-"	"Mph2p"	4	2
"8683..9756"	"-"	357	6319955	"SOR2"	"YDL246C"	"-"	"-"	"L-iditol 2-dehydrogenase SOR2"	4	2
"11657..13360"	"-"	567	6319956	"HXT15"	"YDL245C"	"-"	"-"	"Hxt15p"	4	2
"16204..17226"	"+"	340	6319957	"THI13"	"YDL244W"	"-"	"-"	"Thi13p"	4	2
"17577..18566"	"-"	329	6319958	"AAD4"	"YDL243C"	"-"	"-"	"Aad4p"	4	2
"20635..21006"	"+"	123	6319960	"-"	"YDL241W"	"-"	"-"	"hypothetical protein"	4	2
"22823..25876"	"+"	1017	330443491	"LRG1"	"YDL240W"	"-"	"-"	"Lrg1p"	4	2
"26403..28775"	"-"	790	330443493	"ADY3"	"YDL239C"	"-"	"-"	"Ady3p"	4	2
"28985..30454"	"-"	489	6319963	"GUD1"	"YDL238C"	"-"	"-"	"guanine deaminase"	4	2
"30657..31829"	"+"	390	330443495	"AIM6"	"YDL237W"	"-"	"-"	"Aim6p"	4	2
"32296..33234"	"+"	312	6319965	"PHO13"	"YDL236W"	"-"	"-"	"Pho13p"	4	2
"33415..33918"	"-"	167	6319966	"YPD1"	"YDL235C"	"-"	"-"	"Ypd1p"	4	2
"34237..36477"	"-"	746	6319967	"GYP7"	"YDL234C"	"-"	"-"	"Gyp7p"	4	2
"36797..38173"	"+"	458	6319968	"MFG1"	"YDL233W"	"-"	"-"	"Mfg1p"	4	2
"38487..38597"	"+"	36	6319969	"OST4"	"YDL232W"	"-"	"-"	"Ost4p"	4	2
"38867..42244"	"-"	1125	6319970	"BRE4"	"YDL231C"	"-"	"-"	"Bre4p"	4	2
"446967..447578"	"-"	203	398364917	"NHP10"	"YDL002C"	"-"	"-"	"Nhp10p"	4	2
"447984..449276"	"+"	430	398364923	"RMD1"	"YDL001W"	"-"	"-"	"Rmd1p"	4	2
"450220..452475"	"-"	751	6320204	"NTH1"	"YDR001C"	"-"	"-"	"alpha,alpha-trehalase NTH1"	4	2
"453045..453650"	"+"	201	6320205	"YRB1"	"YDR002W"	"-"	"-"	"Yrb1p"	4	2
"454122..454754"	"+"	210	398364941	"RCR2"	"YDR003W"	"-"	"-"	"Rcr2p"	4	2
"454782..454904"	"+"	40	398364947	"-"	"YDR003W-A"	"-"	"-"	"hypothetical protein"	4	2
"455201..456583"	"+"	460	6320207	"RAD57"	"YDR004W"	"-"	"-"	"Rad57p"	4	2
"456836..458103"	"-"	395	6320208	"MAF1"	"YDR005C"	"-"	"-"	"Maf1p"	4	2
"458542..461247"	"-"	901	398364967	"SOK1"	"YDR006C"	"-"	"-"	"Sok1p"	4	2
"461842..462516"	"+"	224	398364971	"TRP1"	"YDR007W"	"-"	"-"	"phosphoribosylanthranilate isomerase TRP1"	4	2
"463434..464996"	"+"	520	6320212	"GAL3"	"YDR009W"	"-"	"-"	"transcriptional regulator GAL3"	4	2
"465919..470424"	"+"	1501	6320214	"SNQ2"	"YDR011W"	"-"	"-"	"ATP-binding cassette transporter SNQ2"	4	2
"471853..472941"	"+"	362	398364991	"RPL4B"	"YDR012W"	"-"	"-"	"ribosomal 60S subunit protein L4B"	4	2
"473157..473783"	"+"	208	398365003	"PSF1"	"YDR013W"	"-"	"-"	"Psf1p"	4	2
"474046..475989"	"+"	647	6320217	"RAD61"	"YDR014W"	"-"	"-"	"Rad61p"	4	2
"477797..478285"	"+"	162	93117372	"HED1"	"YDR014W-A"	"-"	"-"	"Hed1p"	4	2
"478474..478758"	"-"	94	398365023	"DAD1"	"YDR016C"	"-"	"-"	"Dad1p"	4	2
"479115..482267"	"-"	1050	398365025	"KCS1"	"YDR017C"	"-"	"-"	"inositol polyphosphate kinase KCS1"	4	2
"482670..483860"	"-"	396	6320221	"-"	"YDR018C"	"-"	"-"	"putative acyltransferase"	4	2
"484163..485365"	"-"	400	6320222	"GCV1"	"YDR019C"	"-"	"-"	"glycine decarboxylase subunit T"	4	2
"485746..486444"	"-"	232	398365047	"DAS2"	"YDR020C"	"-"	"-"	"putative uridine kinase DAS2"	4	2
"486804..488003"	"+"	399	398365053	"FAL1"	"YDR021W"	"-"	"-"	"Fal1p"	4	2
"488072..488662"	"-"	196	6320225	"ATG31"	"YDR022C"	"-"	"-"	"Atg31p"	4	2
"489508..490896"	"+"	462	6320226	"SES1"	"YDR023W"	"-"	"-"	"serine--tRNA ligase SES1"	4	2
"491515..492324"	"+"	156	398365071	"RPS11A"	"YDR025W"	"-"	"-"	"ribosomal 40S subunit protein S11A"	4	2
"492556..494268"	"-"	570	398365077	"NSI1"	"YDR026C"	"-"	"-"	"Nsi1p"	4	2
"494649..497318"	"-"	889	6320230	"VPS54"	"YDR027C"	"-"	"-"	"Vps54p"	4	2
"497835..500879"	"-"	1014	6320231	"REG1"	"YDR028C"	"-"	"-"	"Reg1p"	4	2
"501753..503273"	"-"	506	398365097	"RAD28"	"YDR030C"	"-"	"-"	"Rad28p"	4	2
"503498..503863"	"+"	121	398365109	"MIC14"	"YDR031W"	"-"	"-"	"Mic14p"	4	2
"504099..504695"	"-"	198	6320235	"PST2"	"YDR032C"	"-"	"-"	"Pst2p"	4	2
"508147..509109"	"+"	320	6320236	"MRH1"	"YDR033W"	"-"	"-"	"Mrh1p"	4	2
"509737..512109"	"-"	790	398365129	"LYS14"	"YDR034C"	"-"	"-"	"Lys14p"	4	2
"514043..519356"	"-"	1770	398365135	"-"	"YDR034C-D"	"-"	"-"	"gag-pol fusion protein"	4	2
"518040..519356"	"-"	438	7839149	"-"	"YDR034C-C"	"-"	"-"	"gag protein"	4	2
"520516..520692"	"-"	58	6320238	"-"	"YDR034C-A"	"-"	"-"	"hypothetical protein"	4	2
"521314..521469"	"+"	51	398365165	"-"	"YDR034W-B"	"-"	"-"	"hypothetical protein"	4	2
"521816..522928"	"+"	370	398365167	"ARO3"	"YDR035W"	"-"	"-"	"3-deoxy-7-phosphoheptulonate synthase ARO3"	4	2
"523211..524713"	"-"	500	6320241	"EHD3"	"YDR036C"	"-"	"-"	"Ehd3p"	4	2
"525440..527215"	"+"	591	6320242	"KRS1"	"YDR037W"	"-"	"-"	"lysine--tRNA ligase KRS1"	4	2
"527422..530697"	"-"	1091	398365197	"ENA5"	"YDR038C"	"-"	"-"	"putative Na(+)-exporting P-type ATPase ENA5"	4	2
"531307..534582"	"-"	1091	398365207	"ENA2"	"YDR039C"	"-"	"-"	"Na(+)-exporting P-type ATPase ENA2"	4	2
"535192..538467"	"-"	1091	6320245	"ENA1"	"YDR040C"	"-"	"-"	"Na(+)/Li(+)-exporting P-type ATPase ENA1"	4	2
"539803..540414"	"+"	203	6320246	"RSM10"	"YDR041W"	"-"	"-"	"mitochondrial 37S ribosomal protein RSM10"	4	2
"540601..541203"	"-"	200	398365227	"-"	"YDR042C"	"-"	"-"	"hypothetical protein"	4	2
"542674..543369"	"-"	231	398365237	"NRG1"	"YDR043C"	"-"	"-"	"Nrg1p"	4	2
"546642..547628"	"+"	328	6320249	"HEM13"	"YDR044W"	"-"	"-"	"coproporphyrinogen oxidase"	4	2
"547978..548310"	"-"	110	6320250	"RPC11"	"YDR045C"	"-"	"-"	"Rpc11p"	4	2
"548762..550576"	"-"	604	398365249	"BAP3"	"YDR046C"	"-"	"-"	"Bap3p"	4	2
"551860..552948"	"+"	362	398365257	"HEM12"	"YDR047W"	"-"	"-"	"uroporphyrinogen decarboxylase HEM12"	4	2
"553254..555152"	"+"	632	6320253	"VMS1"	"YDR049W"	"-"	"-"	"Vms1p"	4	2
"555726..556472"	"-"	248	6320255	"TPI1"	"YDR050C"	"-"	"-"	"triose-phosphate isomerase TPI1"	4	2
"557056..558060"	"-"	334	398365273	"DET1"	"YDR051C"	"-"	"-"	"Det1p"	4	2
"558511..560625"	"-"	704	398365277	"DBF4"	"YDR052C"	"-"	"-"	"Dbf4p"	4	2
"561440..562327"	"-"	295	6320259	"CDC34"	"YDR054C"	"-"	"-"	"SCF E2 ubiquitin-protein ligase catalytic subunit CDC34"	4	2
"563527..564861"	"+"	444	6320260	"PST1"	"YDR055W"	"-"	"-"	"Pst1p"	4	2
"565023..565640"	"-"	205	398365295	"-"	"YDR056C"	"-"	"-"	"hypothetical protein"	4	2
"565927..567555"	"+"	542	398365297	"YOS9"	"YDR057W"	"-"	"-"	"Yos9p"	4	2
"567723..568703"	"-"	326	6320263	"TGL2"	"YDR058C"	"-"	"-"	"Tgl2p"	4	2
"569234..569770"	"-"	148	6320264	"UBC5"	"YDR059C"	"-"	"-"	"E2 ubiquitin-conjugating protein UBC5"	4	2
"570649..573726"	"+"	1025	398365319	"MAK21"	"YDR060W"	"-"	"-"	"Mak21p"	4	2
"574164..575783"	"+"	539	398365333	"-"	"YDR061W"	"-"	"-"	"hypothetical protein"	4	2
"576474..578159"	"+"	561	6320267	"LCB2"	"YDR062W"	"-"	"-"	"serine C-palmitoyltransferase LCB2"	4	2
"578663..579112"	"+"	149	6320268	"AIM7"	"YDR063W"	"-"	"-"	"Aim7p"	4	2
"525974..526651"	"+"	225	398365067	"ADK2"	"YER170W"	"-"	"-"	"adenylate kinase ADK2"	5	2
"527082..529418"	"+"	778	398365073	"RAD3"	"YER171W"	"-"	"-"	"Rad3p"	5	2
"529530..536021"	"-"	2163	6321020	"BRR2"	"YER172C"	"-"	"-"	"Brr2p"	5	2
"536300..538279"	"+"	659	6321021	"RAD24"	"YER173W"	"-"	"-"	"Rad24p"	5	2
"538434..539168"	"-"	244	398365087	"GRX4"	"YER174C"	"-"	"-"	"Grx4p"	5	2
"539464..540363"	"-"	299	398365095	"TMT1"	"YER175C"	"-"	"-"	"Tmt1p"	5	2
"540650..540814"	"+"	54	33438787	"-"	"YER175W-A"	"-"	"-"	"hypothetical protein"	5	2
"541690..545055"	"+"	1121	6321024	"ECM32"	"YER176W"	"-"	"-"	"Ecm32p"	5	2
"545611..546414"	"+"	267	398365115	"BMH1"	"YER177W"	"-"	"-"	"Bmh1p"	5	2
"546817..548079"	"+"	420	398365125	"PDA1"	"YER178W"	"-"	"-"	"pyruvate dehydrogenase (acetyl-transferring) subunit E1 alpha"	5	2
"548421..549517"	"+"	334	6321027	"DMC1"	"YER179W"	"-"	"-"	"Dmc1p"	5	2
"549724..550527"	"-"	267	6321028	"ISC10"	"YER180C"	"-"	"-"	"Isc10p"	5	2
"550865..551122"	"-"	85	398365147	"SLO1"	"YER180C-A"	"-"	"-"	"Slo1p"	5	2
"552525..553259"	"+"	244	398365153	"FMP10"	"YER182W"	"-"	"-"	"Fmp10p"	5	2
"553334..553969"	"-"	211	6321031	"FAU1"	"YER183C"	"-"	"-"	"5-formyltetrahydrofolate cyclo-ligase"	5	2
"556296..558680"	"-"	794	6321032	"-"	"YER184C"	"-"	"-"	"hypothetical protein"	5	2
"559454..560365"	"+"	303	398365177	"PUG1"	"YER185W"	"-"	"-"	"Pug1p"	5	2
"561705..562625"	"-"	306	398365187	"-"	"YER186C"	"-"	"-"	"hypothetical protein"	5	2
"566230..566655"	"+"	141	6321035	"-"	"YER187W"	"-"	"-"	"hypothetical protein"	5	2
"569608..569907"	"-"	99	33438788	"-"	"YER188C-A"	"-"	"-"	"hypothetical protein"	5	2
"571155..571523"	"+"	122	398365201	"-"	"YER189W"	"-"	"-"	"hypothetical protein"	5	2
"571480..576525"	"+"	1681	398365215	"YRF1-2"	"YER190W"	"-"	"-"	"Y' element ATP-dependent helicase protein 1 copy 2"	5	2
"575680..576162"	"-"	160	119524037	"-"	"YER190C-B"	"-"	"-"	"hypothetical protein"	5	2
"373448..374545"	"-"	365	398364677	"GLE2"	"YER107C"	"-"	"-"	"Gle2p"	5	2
"375215..377614"	"-"	799	398364683	"FLO8"	"YER109C"	"-"	"-"	"Flo8p"	5	2
"378762..382103"	"-"	1113	6320956	"KAP123"	"YER110C"	"-"	"-"	"Kap123p"	5	2
"382595..385876"	"-"	1093	6320957	"SWI4"	"YER111C"	"-"	"-"	"Swi4p"	5	2
"387232..387795"	"+"	187	398364697	"LSM4"	"YER112W"	"-"	"-"	"Lsm4p"	5	2
"387932..390052"	"-"	706	398364705	"TMN3"	"YER113C"	"-"	"-"	"Tmn3p"	5	2
"390590..393712"	"-"	1040	6320960	"BOI2"	"YER114C"	"-"	"-"	"Boi2p"	5	2
"394292..394867"	"-"	191	6320961	"SPR6"	"YER115C"	"-"	"-"	"Spr6p"	5	2
"395348..396172"	"-"	274	398364721	"SLX8"	"YER116C"	"-"	"-"	"SUMO-targeted ubiquitin ligase complex subunit SLX8"	5	2
"396769..397653"	"+"	137	398364725	"RPL23B"	"YER117W"	"-"	"-"	"ribosomal 60S subunit protein L23B"	5	2
"397952..399055"	"-"	367	6320964	"SHO1"	"YER118C"	"-"	"-"	"Sho1p"	5	2
"399496..400842"	"-"	448	6320965	"AVT6"	"YER119C"	"-"	"-"	"Avt6p"	5	2
"401135..401869"	"+"	244	398364741	"SCS2"	"YER120W"	"-"	"-"	"Scs2p"	5	2
"402375..402719"	"+"	114	398364749	"-"	"YER121W"	"-"	"-"	"hypothetical protein"	5	2
"402871..404352"	"-"	493	6320969	"GLO3"	"YER122C"	"-"	"-"	"Glo3p"	5	2
"404813..406387"	"+"	524	7276233	"YCK3"	"YER123W"	"-"	"-"	"Yck3p"	5	2
"407342..409063"	"-"	573	398364765	"DSE1"	"YER124C"	"-"	"-"	"Dse1p"	5	2
"410189..412618"	"+"	809	398364769	"RSP5"	"YER125W"	"-"	"-"	"NEDD4 family E3 ubiquitin-protein ligase"	5	2
"413394..414179"	"-"	261	6320973	"NSA2"	"YER126C"	"-"	"-"	"Nsa2p"	5	2
"414481..415554"	"+"	357	6320974	"LCP5"	"YER127W"	"-"	"-"	"Lcp5p"	5	2
"415859..416470"	"+"	203	398364781	"VFA1"	"YER128W"	"-"	"-"	"Vfa1p"	5	2
"417281..420709"	"+"	1142	398364785	"SAK1"	"YER129W"	"-"	"-"	"Sak1p"	5	2
"421115..422446"	"-"	443	6320977	"-"	"YER130C"	"-"	"-"	"hypothetical protein"	5	2
"423952..424311"	"+"	119	6320978	"RPS26B"	"YER131W"	"-"	"-"	"ribosomal 40S subunit protein S26B"	5	2
"425188..430449"	"-"	1753	398364799	"PMD1"	"YER132C"	"-"	"-"	"Pmd1p"	5	2
"432495..433958"	"+"	312	398364803	"GLC7"	"YER133W"	"-"	"-"	"Glc7p"	5	2
"437267..437803"	"-"	178	6320981	"-"	"YER134C"	"-"	"-"	"hypothetical protein"	5	2
"439616..440971"	"+"	451	6320983	"GDI1"	"YER136W"	"-"	"-"	"Gdi1p"	5	2
"441373..441819"	"-"	148	398364817	"-"	"YER137C"	"-"	"-"	"hypothetical protein"	5	2
"443756..449024"	"-"	1755	398364825	"-"	"YER138C"	"-"	"-"	"gag-pol fusion protein"	5	2
"447702..449024"	"-"	440	7839167	"-"	"YER137C-A"	"-"	"-"	"gag protein"	5	2
"449474..449578"	"+"	34	6320986	"-"	"YER138W-A"	"-"	"-"	"hypothetical protein"	5	2
"450563..451243"	"-"	226	398364847	"RTR1"	"YER139C"	"-"	"-"	"Rtr1p"	5	2
"451565..453235"	"+"	556	398364859	"EMP65"	"YER140W"	"-"	"-"	"Emp65p"	5	2
"453459..454919"	"+"	486	6320989	"COX15"	"YER141W"	"-"	"-"	"Cox15p"	5	2
"455146..456036"	"-"	296	6320990	"MAG1"	"YER142C"	"-"	"-"	"Mag1p"	5	2
"456319..457605"	"+"	428	398364877	"DDI1"	"YER143W"	"-"	"-"	"Ddi1p"	5	2
"457806..460223"	"-"	805	398364885	"UBP5"	"YER144C"	"-"	"-"	"Ubp5p"	5	2
"460526..461740"	"-"	404	6320993	"FTR1"	"YER145C"	"-"	"-"	"Ftr1p"	5	2
"462585..462866"	"+"	93	6320994	"LSM5"	"YER146W"	"-"	"-"	"Lsm5p"	5	2
"462968..464842"	"-"	624	398364903	"SCC4"	"YER147C"	"-"	"-"	"Scc4p"	5	2
"465303..466025"	"+"	240	398364911	"SPT15"	"YER148W"	"-"	"-"	"Spt15p"	5	2
"466208..467470"	"-"	420	6320997	"PEA2"	"YER149C"	"-"	"-"	"Pea2p"	5	2
"468370..468816"	"+"	148	6320998	"SPI1"	"YER150W"	"-"	"-"	"Spi1p"	5	2
"469686..472424"	"-"	912	398364935	"UBP3"	"YER151C"	"-"	"-"	"Ubp3p"	5	2
"472657..473988"	"-"	443	398364939	"-"	"YER152C"	"-"	"-"	"2-aminoadipate transaminase"	5	2
"474041..474805"	"-"	254	6321001	"PET122"	"YER153C"	"-"	"-"	"Pet122p"	5	2
"475020..476228"	"+"	402	6321002	"OXA1"	"YER154W"	"-"	"-"	"Oxa1p"	5	2
"476345..482848"	"-"	2167	398364959	"BEM2"	"YER155C"	"-"	"-"	"Bem2p"	5	2
"483325..484341"	"-"	338	398364965	"-"	"YER156C"	"-"	"-"	"hypothetical protein"	5	2
"484788..487193"	"+"	801	6321005	"COG3"	"YER157W"	"-"	"-"	"Cog3p"	5	2
"488857..490578"	"-"	573	6321006	"-"	"YER158C"	"-"	"-"	"hypothetical protein"	5	2
"491530..491958"	"-"	142	398364987	"BUR6"	"YER159C"	"-"	"-"	"Bur6p"	5	2
"492856..498124"	"-"	1755	398364997	"-"	"YER160C"	"-"	"-"	"gag-pol fusion protein"	5	2
"496802..498124"	"-"	440	7839168	"-"	"YER159C-A"	"-"	"-"	"gag protein"	5	2
"499347..500348"	"-"	333	6321009	"SPT2"	"YER161C"	"-"	"-"	"Spt2p"	5	2
"500630..502894"	"-"	754	398365007	"RAD4"	"YER162C"	"-"	"-"	"Rad4p"	5	2
"503084..503782"	"-"	232	398365019	"GCG1"	"YER163C"	"-"	"-"	"Gcg1p"	5	2
"505392..509798"	"+"	1468	6321012	"CHD1"	"YER164W"	"-"	"-"	"Chd1p"	5	2
"510373..512106"	"+"	577	6321013	"PAB1"	"YER165W"	"-"	"-"	"Pab1p"	5	2
"512744..517459"	"+"	1571	398365037	"DNF1"	"YER166W"	"-"	"-"	"aminophospholipid-translocating P4-type ATPase DNF1"	5	2
"518216..520771"	"+"	851	398365049	"BCK2"	"YER167W"	"-"	"-"	"Bck2p"	5	2
"521029..522669"	"-"	546	6321016	"CCA1"	"YER168C"	"-"	"-"	"Cca1p"	5	2
"523369..525759"	"+"	796	6321017	"RPH1"	"YER169W"	"-"	"-"	"Rph1p"	5	2
"251728..253662"	"+"	644	6320890	"TPA1"	"YER049W"	"-"	"-"	"Tpa1p"	5	2
"253971..254387"	"-"	138	398364439	"RSM18"	"YER050C"	"-"	"-"	"mitochondrial 37S ribosomal protein RSM18"	5	2
"254656..256134"	"+"	492	6320892	"JHD1"	"YER051W"	"-"	"-"	"Jhd1p"	5	2
"256375..257958"	"-"	527	6320893	"HOM3"	"YER052C"	"-"	"-"	"aspartate kinase"	5	2
"258737..259639"	"-"	300	398364445	"PIC2"	"YER053C"	"-"	"-"	"Pic2p"	5	2
"260933..261046"	"-"	37	9755330	"-"	"YER053C-A"	"-"	"-"	"hypothetical protein"	5	2
"262052..263698"	"-"	548	6320895	"GIP2"	"YER054C"	"-"	"-"	"Gip2p"	5	2
"264892..265785"	"-"	297	398364453	"HIS1"	"YER055C"	"-"	"-"	"ATP phosphoribosyltransferase"	5	2
"266512..268113"	"-"	533	6320897	"FCY2"	"YER056C"	"-"	"-"	"Fcy2p"	5	2
"269423..270185"	"-"	121	9755331	"RPL34A"	"YER056C-A"	"-"	"-"	"ribosomal 60S subunit protein L34A"	5	2
"270737..271126"	"-"	129	398364461	"HMF1"	"YER057C"	"-"	"-"	"Hmf1p"	5	2
"271768..272091"	"+"	107	6320900	"PET117"	"YER058W"	"-"	"-"	"Pet117p"	5	2
"272624..273886"	"+"	420	6320901	"PCL6"	"YER059W"	"-"	"-"	"Pcl6p"	5	2
"274567..276153"	"+"	528	398364473	"FCY21"	"YER060W"	"-"	"-"	"Fcy21p"	5	2
"276572..278164"	"+"	530	6320903	"FCY22"	"YER060W-A"	"-"	"-"	"Fcy22p"	5	2
"278298..279626"	"-"	442	330443524	"CEM1"	"YER061C"	"-"	"-"	"fatty acid synthase CEM1"	5	2
"279930..280682"	"-"	250	398364483	"HOR2"	"YER062C"	"-"	"-"	"glycerol-1-phosphatase HOR2"	5	2
"281710..282366"	"+"	218	6320906	"THO1"	"YER063W"	"-"	"-"	"Tho1p"	5	2
"282705..284222"	"-"	505	6320907	"VHR2"	"YER064C"	"-"	"-"	"Vhr2p"	5	2
"285241..286914"	"-"	557	398364491	"ICL1"	"YER065C"	"-"	"-"	"isocitrate lyase 1"	5	2
"290242..290799"	"+"	185	6320909	"RRT13"	"YER066W"	"-"	"-"	"Rrt13p"	5	2
"292066..292551"	"+"	161	6320910	"RGI1"	"YER067W"	"-"	"-"	"Rgi1p"	5	2
"293050..294813"	"+"	587	398364501	"MOT2"	"YER068W"	"-"	"-"	"CCR4-NOT core ubiquitin-protein ligase subunit MOT2"	5	2
"295410..298001"	"+"	863	6320913	"ARG5,6"	"YER069W"	"-"	"-"	"bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase"	5	2
"298950..301616"	"+"	888	6320914	"RNR1"	"YER070W"	"-"	"-"	"ribonucleotide-diphosphate reductase subunit RNR1"	5	2
"301947..302327"	"-"	126	398364509	"TDA2"	"YER071C"	"-"	"-"	"Tda2p"	5	2
"302806..303195"	"+"	129	6320916	"VTC1"	"YER072W"	"-"	"-"	"Vtc1p"	5	2
"304030..305592"	"+"	520	330443526	"ALD5"	"YER073W"	"-"	"-"	"aldehyde dehydrogenase (NAD(P)(+)) ALD5"	5	2
"306323..307196"	"+"	135	398364517	"RPS24A"	"YER074W"	"-"	"-"	"ribosomal 40S subunit protein S24A"	5	2
"307653..308123"	"+"	85	41629682	"YOS1"	"YER074W-A"	"-"	"-"	"Yos1p"	5	2
"308413..311199"	"-"	928	330443528	"PTP3"	"YER075C"	"-"	"-"	"Ptp3p"	5	2
"312590..313498"	"-"	302	398364527	"-"	"YER076C"	"-"	"-"	"hypothetical protein"	5	2
"314534..316600"	"-"	688	6320921	"-"	"YER077C"	"-"	"-"	"hypothetical protein"	5	2
"316807..318342"	"-"	511	6320922	"ICP55"	"YER078C"	"-"	"-"	"Icp55p"	5	2
"318646..318810"	"+"	54	398364533	"-"	"YER078W-A"	"-"	"-"	"hypothetical protein"	5	2
"318920..319552"	"+"	210	6320923	"-"	"YER079W"	"-"	"-"	"hypothetical protein"	5	2
"319963..321846"	"+"	627	6320924	"AIM9"	"YER080W"	"-"	"-"	"Aim9p"	5	2
"322686..324095"	"+"	469	398364547	"SER3"	"YER081W"	"-"	"-"	"phosphoglycerate dehydrogenase SER3"	5	2
"324272..325936"	"-"	554	6320926	"UTP7"	"YER082C"	"-"	"-"	"Utp7p"	5	2
"326174..327031"	"-"	285	37362643	"GET2"	"YER083C"	"-"	"-"	"Get2p"	5	2
"327065..327451"	"+"	128	398364561	"-"	"YER084W"	"-"	"-"	"hypothetical protein"	5	2
"327619..328140"	"-"	173	398364563	"-"	"YER085C"	"-"	"-"	"hypothetical protein"	5	2
"328477..330207"	"+"	576	6320930	"ILV1"	"YER086W"	"-"	"-"	"threonine ammonia-lyase ILV1"	5	2
"330576..332306"	"+"	576	6320931	"AIM10"	"YER087W"	"-"	"-"	"putative proline--tRNA ligase AIM10"	5	2
"332582..332830"	"-"	82	398364575	"SBH1"	"YER087C-B"	"-"	"-"	"Sbh1p"	5	2
"333176..335188"	"-"	670	398364577	"DOT6"	"YER088C"	"-"	"-"	"Dot6p"	5	2
"335946..337340"	"-"	464	6320934	"PTC2"	"YER089C"	"-"	"-"	"Ptc2p"	5	2
"337949..339472"	"+"	507	6320935	"TRP2"	"YER090W"	"-"	"-"	"anthranilate synthase TRP2"	5	2
"339864..342167"	"-"	767	398364593	"MET6"	"YER091C"	"-"	"-"	"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase"	5	2
"342855..343232"	"+"	125	398364595	"IES5"	"YER092W"	"-"	"-"	"Ies5p"	5	2
"343320..347612"	"-"	1430	6320939	"TSC11"	"YER093C"	"-"	"-"	"Tsc11p"	5	2
"347912..348400"	"-"	137	6320940	"AIM11"	"YER093C-A"	"-"	"-"	"Aim11p"	5	2
"348729..349346"	"-"	205	398364611	"PUP3"	"YER094C"	"-"	"-"	"proteasome core particle subunit beta 3"	5	2
"349980..351182"	"+"	400	398364617	"RAD51"	"YER095W"	"-"	"-"	"recombinase RAD51"	5	2
"351698..353236"	"+"	512	6320943	"SHC1"	"YER096W"	"-"	"-"	"Shc1p"	5	2
"355466..357730"	"+"	754	6320945	"UBP9"	"YER098W"	"-"	"-"	"Ubp9p"	5	2
"358105..359061"	"-"	318	398364637	"PRS2"	"YER099C"	"-"	"-"	"ribose phosphate diphosphokinase subunit PRS2"	5	2
"359562..360314"	"+"	250	398364639	"UBC6"	"YER100W"	"-"	"-"	"E2 ubiquitin-conjugating protein UBC6"	5	2
"360502..361794"	"-"	430	6320948	"AST2"	"YER101C"	"-"	"-"	"Ast2p"	5	2
"363100..363702"	"+"	200	6320949	"RPS8B"	"YER102W"	"-"	"-"	"ribosomal 40S subunit protein S8B"	5	2
"364589..366517"	"+"	642	398364655	"SSA4"	"YER103W"	"-"	"-"	"Hsp70 family chaperone SSA4"	5	2
"366802..367428"	"+"	208	398364661	"RTT105"	"YER104W"	"-"	"-"	"Rtt105p"	5	2
"367838..372013"	"-"	1391	6320952	"NUP157"	"YER105C"	"-"	"-"	"Nup157p"	5	2
"372326..373234"	"+"	302	6320953	"MAM1"	"YER106W"	"-"	"-"	"Mam1p"	5	2
